01_020_05.json: 1 syntactically invalid, 0 semantically invalid, 15 valid
02_020_07.json: 0 syntactically invalid, 0 semantically invalid, 16 valid
02_020_10.json: 0 syntactically invalid, 6 semantically invalid, 10 valid
03_020_05.json: 0 syntactically invalid, 1 semantically invalid, 15 valid
03_020_10.json: 0 syntactically invalid, 0 semantically invalid, 16 valid
04_020_08.json: 3 syntactically invalid, 1 semantically invalid, 12 valid
05_020_08.json: 0 syntactically invalid, 0 semantically invalid, 16 valid
06_020_06.json: 0 syntactically invalid, 1 semantically invalid, 15 valid
06_020_10.json: 1 syntactically invalid, 1 semantically invalid, 14 valid
07_020_05.json: 0 syntactically invalid, 1 semantically invalid, 15 valid
07_020_08.json: 0 syntactically invalid, 0 semantically invalid, 16 valid
07_020_10.json: 0 syntactically invalid, 1 semantically invalid, 15 valid
08_020_04.json: 0 syntactically invalid, 1 semantically invalid, 15 valid
08_020_08.json: 2 syntactically invalid, 2 semantically invalid, 12 valid
09_020_02.json: 0 syntactically invalid, 0 semantically invalid, 16 valid
09_020_05.json: 1 syntactically invalid, 1 semantically invalid, 14 valid
09_020_07.json: 1 syntactically invalid, 0 semantically invalid, 15 valid
10_020_02.json: 0 syntactically invalid, 0 semantically invalid, 16 valid
10_020_04.json: 0 syntactically invalid, 1 semantically invalid, 15 valid
10_020_09.json: 0 syntactically invalid, 0 semantically invalid, 16 valid
